Key,English,Simplified Chinese,Traditional Chinese,Hindi,Spanish,French,Arabic,Indonesian,Portuguese,German,Japanese,Turkish,Vietnamese,Korean
KEY_START,Start,开始,開始,शुरू,COMENZAR,DÉMARRER,ابدأ,MULAI,COMEÇAR,STARTEN,スタート,BAŞLA,BẮT ĐẦU,시작
KEY_RANK,Rank,排名,排名,रैंक,CLASIFICACIÓN,CLASSEMENT,الترتيب,PERINGKAT,CLASSIFICAÇÃO,RANG,ランク,SIRALAMA,XẾP HẠNG,랭킹
KEY_HOW_TO_PLAY,How to Play,玩法说明,玩法,कैसे खेलें,CÓMO JUGAR,COMMENT JOUER,كيفية اللعب,CARA BERMAIN,COMO JOGAR,SPIELANLEITUNG,遊び方,NASIL OYNANIR,CÁCH CHƠI,게임 방법
KEY_SWIPE,Swipe to Move,滑动移动,滑動移動,स्वाइप करके चलें,DESLIZA PARA MOVER,GLISSER POUR DÉPLACER,اسحب للتحريك,GESER UNTUK BERGERAK,DESLIZE PARA MOVER,WISCHEN ZUM BEWEGEN,スワイプで移動,KAYDIRARAK HAREKET ET,VUỐT ĐỂ DI CHUYỂN,스와이프로 이동
KEY_SWIPE_AND_HOLD,Swipe & Hold for Fast Move,滑动并按住快速移动,滑動並按住快速移動,स्वाइप और होल्ड करके तेज चलें,DESLIZA Y MANTÉN PARA MOVER RÁPIDO,GLISSER ET MAINTENIR POUR ACCÉLÉRER,اسحب مع الاستمرار للتحرك بسرعة,GESER & TAHAN UNTUK GERAK CEPAT,DESLIZE E SEGURE PARA MOVER RÁPIDO,WISCHEN & HALTEN FÜR SCHNELLE BEWEGUNG,スワイプ＆ホールドで高速移動,KAYDIR & BASILI TUT HIZLI HAREKET,VUỐT & GIỮ ĐỂ DI CHUYỂN NHANH,스와이프 & 홀드로 빠르게 이동
KEY_TAP,Tap to Rotate,点击旋转,點擊旋轉,टैप करके घुमाएँ,TOCA PARA GIRAR,APPUYER POUR TOURNER,اضغط للدوران,KETUK UNTUK MEMUTAR,TOQUE PARA GIRAR,TIPPEN ZUM DREHEN,タップで回転,DOKUN DÖNDÜR,CHẠM ĐỂ XOAY,탭으로 회전
KEY_NEXT,Next,下一步,下一步,अगला,SIGUIENTE,SUIVANT,التالي,BERIKUTNYA,PRÓXIMO,WEITER,次へ,SONRAKI,TIẾP THEO,다음
KEY_MATCH_4_SAME_COLOR,Match 4+ Same Color,匹配4个以上同色,匹配4個以上同色,4+ समान रंग मिलाएँ,Combina 4+ Del Mismo Color,Associez 4+ De La Même Couleur,طابق 4+ من نفس اللون,Cocokkan 4+ Warna Sama,Combine 4+ Da Mesma Cor,4+ Gleiche Farben Kombinieren,同じ色を4つ以上揃える,Ayni Renkten 4+ Eşleştir,Ghép 4+ Cùng Màu,같은 색 4개 이상 연결
KEY_JUST_LINE_IS_ IMPOSSIBLE,(just lines is impossible),(仅靠直线无法实现),(僅靠直線無法實現),(सिर्फ सीधी रेखा से संभव नहीं),(no es posible solo con líneas),(impossible uniquement en ligne),(ليس بالخطوط المستقيمة فقط),(tidak mungkin hanya garis),(não é possível apenas com linhas retas),(Nur gerade Linie ist unmöglich),(直線だけでは不可能),(sadece düz çizgiyle mümkün değil),(không thể chỉ bằng đường thẳng),(직선만으론 불가능)
KEY_OK,OK,确定,確定,ठीक है,OK,OK,موافق,OK,OK,OK,OK,TAMAM,OK,확인
KEY_PAUSE,PAUSE,暂停,暫停,विराम,PAUSA,PAUSE,إيقاف مؤقت,JEDA,PAUSA,PAUSE,一時停止,DURAKLAT,TẠM DỪNG,일시정지
KEY_REPLAY,REPLAY,重试,重試,फिर से खेलें,REPETIR,REJOUER,إعادة,MAIN LAGI,REPETIR,NOCHMAL,リプレイ,TEKRAR,CHƠI LẠI,다시하기
KEY_QUIT,QUIT,退出,退出,बाहर निकलें,SALIR,QUITTER,خروج,KELUAR,SAIR,BEENDEN,終了,Çıkış,THOÁT,나가기
KEY_PRIVACY_POLICY,"To play Drop & Blast you need to accept our <link=""privacy""><color=#4DA6FF><u>[Privacy Policy]</u></color></link>","要玩 Drop & Blast 您需要接受我们的<link=""privacy""><color=#4DA6FF><u>[隐私政策]</u></color></link>","要玩 Drop & Blast 您需要接受我們的<link=""privacy""><color=#4DA6FF><u>[隱私政策]</u></color></link>","Drop & Blast खेलने के लिए आपको हमारी <link=""privacy""><color=#4DA6FF><u>[गोपनीयता नीति]</u></color></link> स्वीकार करनी होगी","Para jugar a Drop & Blast debes aceptar nuestra <link=""privacy""><color=#4DA6FF><u>[Política de privacidad]</u></color></link>","Pour jouer à Drop & Blast vous devez accepter notre <link=""privacy""><color=#4DA6FF><u>[Politique de confidentialité]</u></color></link>","للعب Drop & Blast، يجب عليك قبول <link=""privacy""><color=#4DA6FF><u>[سياسة الخصوصية]</u></color></link> الخاصة بنا","Untuk memainkan Drop & Blast Anda harus menyetujui <link=""privacy""><color=#4DA6FF><u>[Kebijakan Privasi]</u></color></link> kami","Para jogar Drop & Blast você precisa aceitar nossa <link=""privacy""><color=#4DA6FF><u>[Política de Privacidade]</u></color></link>","Um Drop & Blast zu spielen musst du unsere <link=""privacy""><color=#4DA6FF><u>[Datenschutzrichtlinie]</u></color></link> akzeptieren","Drop & Blastをプレイするには、<link=""privacy""><color=#4DA6FF><u>[プライバシーポリシー]</u></color></link>に同意する必要があります","Drop & Blast oynamak için <link=""privacy""><color=#4DA6FF><u>[Gizlilik Politikası]</u></color></link>nı kabul etmelisiniz","Để chơi Drop & Blast bạn cần chấp nhận <link=""privacy""><color=#4DA6FF><u>[Chính sách quyền riêng tư]</u></color></link> của chúng tôi","Drop & Blast를 플레이하려면 <link=""privacy""><color=#4DA6FF><u>[개인정보 처리방침]</u></color></link>에 동의해야 합니다"
KEY_GAME_OVER,Game Over,游戏结束,遊戲結束,खेल समाप्त,FIN DEL JUEGO,FIN DE PARTIE,انتهت اللعبة,PERMAINAN SELESAI,FIM DE JOGO,SPIEL VORBEI,ゲームオーバー,OYUN BİTTİ,KẾT THÚC,게임 오버
KEY_SCORE,Score,分数,分數,स्कोर,PUNTUACIÓN,SCORE,النتيجة,SKOR,PONTUAÇÃO,PUNKTZAHL,スコア,SKOR,ĐIỂM,점수
KEY_REVIVE,Revive,复活,復活,पुनर्जीवित,REVIVIR,RÉANIMER,إحياء,HIDUPKAN,REVIVER,WIEDERBELEBEN,復活,YENİDEN CANLAN,HỒI SINH,부활
